Instance name,vCPUs,Memory,Network Performance,Storage,On-Demand Hourly Cost,CurrentGeneration,Potential Effective Hourly Cost (Savings %)
t4g.nano,2,0.5 GiB,Up to 5 Gigabit,EBS only,0.0042,Yes,0.0016 (63%)
t3a.nano,2,0.5 GiB,Up to 5 Gigabit,EBS only,0.0047,Yes,0.0018 (63%)
t3.nano,2,0.5 GiB,Up to 5 Gigabit,EBS only,0.0052,Yes,0.0019 (63%)
t2.nano,1,0.5 GiB,Low,EBS only,0.0058,Yes,0.0022 (63%)
t4g.micro,2,1 GiB,Up to 5 Gigabit,EBS only,0.0084,Yes,0.0032 (62%)
t3a.micro,2,1 GiB,Up to 5 Gigabit,EBS only,0.0094,Yes,0.0035 (62%)
t3.micro,2,1 GiB,Up to 5 Gigabit,EBS only,0.0104,Yes,0.0039 (62%)
t2.micro,1,1 GiB,Low to Moderate,EBS only,0.0116,Yes,0.0044 (62%)
t4g.small,2,2 GiB,Up to 5 Gigabit,EBS only,0.0168,Yes,0.0063 (62%)
t3a.small,2,2 GiB,Up to 5 Gigabit,EBS only,0.0188,Yes,0.0071 (62%)
t3.small,2,2 GiB,Up to 5 Gigabit,EBS only,0.0208,Yes,0.0078 (62%)
t2.small,1,2 GiB,Low to Moderate,EBS only,0.023,Yes,0.0087 (62%)
t4g.medium,2,4 GiB,Up to 5 Gigabit,EBS only,0.0336,Yes,0.0126 (62%)
c6g.medium,1,2 GiB,Up to 10 Gigabit,EBS only,0.034,Yes,0.0128 (62%)
c7g.medium,1,2 GiB,Up to 12500 Megabit,EBS only,0.0361,Yes,0.0139 (62%)
t3a.medium,2,4 GiB,Up to 5 Gigabit,EBS only,0.0376,Yes,0.0142 (62%)
c6gd.medium,1,2 GiB,Up to 10 Gigabit,1 x 59 NVMe SSD,0.0384,Yes,0.0144 (62%)
m6g.medium,1,4 GiB,Up to 10 Gigabit,EBS only,0.0385,Yes,0.0146 (62%)
m7g.medium,1,4 GiB,Up to 12500 Megabit,EBS only,0.0408,Yes,0.0161 (61%)
